municipality;site;pt_locality;date;time;temperature_C;wind_m/s;precipitation ;method;color;species;sex;caste;ID;identifyed_by;captured_by;taxonomy;state;periode;netting_group;trap_ID;site_ID;;;;;;;;;
austrheim;utkilen;NA;09/06/2022;09:00;12,00;1,40;0;net;NA;B. pascuorum;f;worker ;108;zazzera;zazzera;bombus;overgrown;first;A;H5;6;;;;;;;;;
austrheim;utkilen;NA;09/06/2022;09:00;12,00;1,40;0;net;NA;B. pratorum;f;worker ;109;zazzera;zazzera;bombus;overgrown;first;A;H5;6;;;;;;;;;
austrheim;utkilen;NA;09/06/2022;09:00;12,00;1,40;0;net;NA;B. jonellus;f;worker;110;zazzera;zazzera;bombus;overgrown;first;A;H5;6;;;;;;;;;
austrheim;utkilen;NA;09/06/2022;09:00;12,00;1,40;0;net;NA;complex;f;worker;111;zazzera;zazzera;bombus;overgrown;first;A;H5;6;;;;;;;;;
austrheim;utkilen;NA;09/06/2022;09:00;12,00;1,40;0;net;NA;B. pratorum;f;worker;112;zazzera;zazzera;bombus;overgrown;first;A;H5;6;;;;;;;;;
austrheim;utkilen;NA;09/06/2022;09:00;12,00;1,40;0;net;NA;B. pratorum;f;worker;113;zazzera;zazzera;bombus;overgrown;first;A;H5;6;;;;;;;;;
austrheim;utkilen;NA;09/06/2022;09:00;12,00;1,40;0;net;NA;B. pascuorum;f;worker;114;zazzera;zazzera;bombus;overgrown;first;A;H5;6;;;;;;;;;
austrheim;utkilen;NA;09/06/2022;09:00;12,00;1,40;0;net;NA;B. pratorum;f;worker;115;zazzera;zazzera;bombus;overgrown;first;A;H5;6;;;;;;;;;
austrheim;utkilen;NA;09/06/2022;09:00;12,00;1,40;0;net;NA;B. jonellus;f;worker;116;zazzera;zazzera;bombus;overgrown;first;A;H5;6;;;;;;;;;
alver;syltneset;1;09/06/2022;12:00;NA;NA;NA;PT;W;complex;f;worker;117;zazzera;zazzera;bombus;overgrown;first;NA;;5;;;;;;;;;
alver;syltneset;3;09/06/2022;12:00;NA;NA;NA;PT;Y;complex;f;worker;118;zazzera;zazzera;bombus;overgrown;first;NA;;5;;;;;;;;;
austrheim;lerøysundet;3;17/06/2022;11:00;NA;NA;NA;PT;Y;complex;f;worker;119;zazzera;zazzera;bombus;overgrown;first;NA;P11;4;;;;;;;;;
alver;syltneset;3;17/06/2022;10:00;NA;NA;NA;PT;W;B. pratorum;f;worker;120;zazzera;zazzera;bombus;overgrown;first;NA;P10;5;;;;;;;;;
austrheim;krossøy;NA;07/06/2022;10:00;14,40;4,30;0;net;NA;B. muscorum;f;queen;135;zazzera;zazzera;bombus;open;last;A;H1;3;;;;;;;;;
austrheim;øksnes;1;17/06/2022;12:00;NA;NA;NA;PT;Y;B. muscorum;f;queen;136;zazzera;zazzera;bombus;open;first;NA;P12;1;;;;;;;;;
alver;byngja;1;02/09/2022;10:00;NA;NA;NA;PT;B;complex;m;drone;121;zazzera;zazzera;bombus;open;last;NA;P28;2;;;;;;;;;
alver;byngja;2;29/08/2022;13:00;NA;NA;NA;PT;W;complex;f;worker;122;zazzera;zazzera;bombus;open;last;NA;P24;2;;;;;;;;;
alver;byngja;3;02/09/2022;10:00;NA;NA;NA;PT;B;B. pascuorum;f;worker;123;halvorsen;zazzera;bombus;open;last;NA;P28;2;;;;;;;;;
alver;byngja;3;02/09/2022;10:00;NA;NA;NA;PT;B;B. pascuorum;f;worker;124;halvorsen;zazzera;bombus;open;last;NA;P28;2;;;;;;;;;
alver;byngja;3;02/09/2022;10:00;NA;NA;NA;PT;B;B. pascuorum;f;worker;125;halvorsen;zazzera;bombus;open;last;NA;P28;2;;;;;;;;;
austrheim;utkilen;NA;18/08/2022;15:00;15,30;4,10;0;net;NA;B. pascuorum;f;worker;126;halvorsen;zazzera;bombus;overgrown;last;A;H17;6;;;;;;;;;
austrheim;utkilen;NA;18/08/2022;15:00;15,20;4,10;0;net;NA;B. pascuorum;f;worker;127;halvorsen;zazzera;bombus;overgrown;last;A;H17;6;;;;;;;;;
austrheim;utkilen;NA;18/08/2022;15:00;15,20;4,10;0;net;NA;B. pascuorum;f;worker;128;halvorsen;zazzera;bombus;overgrown;last;A;H17;6;;;;;;;;;
austrheim;utkilen;NA;18/08/2022;15:00;15,20;4,10;0;net;NA;B. pascuorum;f;worker;129;halvorsen;zazzera;bombus;overgrown;last;A;H17;6;;;;;;;;;
austrheim;utkilen;NA;18/08/2022;15:00;15,20;4,10;0;net;NA;B. pascuorum;f;worker;130;halvorsen;zazzera;bombus;overgrown;last;A;H17;6;;;;;;;;;
austrheim;utkilen;NA;18/08/2022;15:00;15,20;4,10;0;net;NA;B. pascuorum;f;worker;131;halvorsen;zazzera;bombus;overgrown;last;A;H17;6;;;;;;;;;
austrheim;utkilen;NA;18/08/2022;15:00;15,20;4,10;0;net;NA;B. pascuorum;f;worker;132;halvorsen;zazzera;bombus;overgrown;last;A;H17;6;;;;;;;;;
austrheim;utkilen;NA;18/08/2022;15:00;15,20;4,10;0;net;NA;B. pascuorum;f;worker;133;halvorsen;zazzera;bombus;overgrown;last;A;H17;6;;;;;;;;;
austrheim;utkilen;NA;18/08/2022;15:00;15,20;4,10;0;net;NA;complex;m;drone;134;halvorsen;zazzera;bombus;overgrown;last;A;H17;6;;;;;;;;;
austrheim;krossøy;NA;18/08/2022;11:00;12,90;3,60;0;net;NA;B. jonellus;f;worker;137;zazzera;zazzera;bombus;open;last;A;H15;3;;;;;;;;;
austrheim;krossøy;NA;18/08/2022;11:00;12,90;3,60;0;net;NA;complex;m;drone;138;zazzera;zazzera;bombus;open;last;A;H15;3;;;;;;;;;
